sequences ; seg sites ;  histories; gene_tree ; command
2 ;	13 ;	1287 ;	(((((((((0)))))))), (((((1)))))) ;	ms 2 1 -seeds 1491453794 -s 13 -rho 0.0 1000000 
2 ;	12 ;	495 ;	(((((1)))), ((((((((0))))))))) ;	ms 2 1 -seeds 1491453794 -s 12 -rho 0.0 1000000 
2 ;	11 ;	330 ;	(((((1)))), (((((((0)))))))) ;	ms 2 1 -seeds 1491453794 -s 11 -rho 0.0 1000000 
2 ;	10 ;	120 ;	((((1))), (((((((0)))))))) ;	ms 2 1 -seeds 1491453794 -s 10 -rho 0.0 1000000 
2 ;	9 ;	84 ;	((((1))), ((((((0))))))) ;	ms 2 1 -seeds 1491453794 -s 9 -rho 0.0 1000000 
2 ;	8 ;	70 ;	(((((0)))), ((((1))))) ;	ms 2 1 -seeds 1491453794 -s 8 -rho 0.0 1000000 
2 ;	7 ;	35 ;	(((((1)))), (((0)))) ;	ms 2 1 -seeds 1491453794 -s 7 -rho 0.0 1000000 
2 ;	6 ;	20 ;	((((1))), (((0)))) ;	ms 2 1 -seeds 1491453794 -s 6 -rho 0.0 1000000 
2 ;	5 ;	10 ;	((((1))), ((0))) ;	ms 2 1 -seeds 1491453794 -s 5 -rho 0.0 1000000 
2 ;	4 ;	4 ;	((((0))), (1)) ;	ms 2 1 -seeds 1491453794 -s 4 -rho 0.0 1000000 
2 ;	3 ;	3 ;	((0), ((1))) ;	ms 2 1 -seeds 1491453794 -s 3 -rho 0.0 1000000 
2 ;	2 ;	1 ;	(0, ((1))) ;	ms 2 1 -seeds 1491453794 -s 2 -rho 0.0 1000000 
2 ;	1 ;	1 ;	(1, (0)) ;	ms 2 1 -seeds 1491453794 -s 1 -rho 0.0 1000000 
3 ;	20 ;	352716 ;	(((((((((((0)))))))))), (((((((((2, (1))))))))))) ;	ms 3 1 -seeds 1491453794 -s 20 -rho 0.0 1000000 
3 ;	19 ;	167960 ;	((((((((((0))))))))), (((((((((2, (1))))))))))) ;	ms 3 1 -seeds 1491453794 -s 19 -rho 0.0 1000000 
3 ;	18 ;	75582 ;	(((((((((0)))))))), (((((((((2, (1))))))))))) ;	ms 3 1 -seeds 1491453794 -s 18 -rho 0.0 1000000 
3 ;	17 ;	43758 ;	(((((((((0)))))))), ((((((((2, (1)))))))))) ;	ms 3 1 -seeds 1491453794 -s 17 -rho 0.0 1000000 
3 ;	16 ;	24310 ;	(((((((2, (1))))))), (((((((((0)))))))))) ;	ms 3 1 -seeds 1491453794 -s 16 -rho 0.0 1000000 
3 ;	15 ;	11440 ;	((((((((((0))))))))), (((((2, (1))))))) ;	ms 3 1 -seeds 1491453794 -s 15 -rho 0.0 1000000 
3 ;	14 ;	5005 ;	(((((2, (1))))), (((((((((0)))))))))) ;	ms 3 1 -seeds 1491453794 -s 14 -rho 0.0 1000000 
3 ;	13 ;	3003 ;	(((((2, (1))))), ((((((((0))))))))) ;	ms 3 1 -seeds 1491453794 -s 13 -rho 0.0 1000000 
3 ;	12 ;	1716 ;	(((((2, (1))))), (((((((0)))))))) ;	ms 3 1 -seeds 1491453794 -s 12 -rho 0.0 1000000 
3 ;	11 ;	495 ;	((((1, 2))), ((((((((0))))))))) ;	ms 3 1 -seeds 1491453794 -s 11 -rho 0.0 1000000 
3 ;	10 ;	462 ;	(((((1, 2)))), ((((((0))))))) ;	ms 3 1 -seeds 1491453794 -s 10 -rho 0.0 1000000 
3 ;	9 ;	210 ;	((((1, 2))), ((((((0))))))) ;	ms 3 1 -seeds 1491453794 -s 9 -rho 0.0 1000000 
3 ;	8 ;	126 ;	(((2, (1))), (((((0)))))) ;	ms 3 1 -seeds 1491453794 -s 8 -rho 0.0 1000000 
3 ;	7 ;	56 ;	((((2, (1)))), (((0)))) ;	ms 3 1 -seeds 1491453794 -s 7 -rho 0.0 1000000 
3 ;	6 ;	35 ;	(((2, (1))), (((0)))) ;	ms 3 1 -seeds 1491453794 -s 6 -rho 0.0 1000000 
3 ;	5 ;	20 ;	((((0))), (2, (1))) ;	ms 3 1 -seeds 1491453794 -s 5 -rho 0.0 1000000 
3 ;	4 ;	10 ;	(((1, 2)), ((0))) ;	ms 3 1 -seeds 1491453794 -s 4 -rho 0.0 1000000 
3 ;	3 ;	6 ;	(((0)), (1, 2)) ;	ms 3 1 -seeds 1491453794 -s 3 -rho 0.0 1000000 
3 ;	2 ;	3 ;	((0), (1, 2)) ;	ms 3 1 -seeds 1491453794 -s 2 -rho 0.0 1000000 
3 ;	1 ;	1 ;	(0, (1, 2)) ;	ms 3 1 -seeds 1491453794 -s 1 -rho 0.0 1000000 
4 ;	20 ;	1939938 ;	(((((((((((1)))))))))), ((((((((((0, 2, 3))))))))))) ;	ms 4 1 -seeds 1491453794 -s 20 -rho 0.0 1000000 
4 ;	19 ;	1058148 ;	(((((((((((1)))))))))), (((((((((0, 2, 3)))))))))) ;	ms 4 1 -seeds 1491453794 -s 19 -rho 0.0 1000000 
4 ;	18 ;	503880 ;	((((((((((0, 2, 3))))))))), (((((((((1)))))))))) ;	ms 4 1 -seeds 1491453794 -s 18 -rho 0.0 1000000 
4 ;	17 ;	277134 ;	(((((((((0, 2, 3)))))))), (((((((((1)))))))))) ;	ms 4 1 -seeds 1491453794 -s 17 -rho 0.0 1000000 
4 ;	16 ;	131274 ;	(((((((((0, 2, 3)))))))), ((((((((1))))))))) ;	ms 4 1 -seeds 1491453794 -s 16 -rho 0.0 1000000 
4 ;	15 ;	72930 ;	(((((((((1)))))))), (((((((0, 2, 3)))))))) ;	ms 4 1 -seeds 1491453794 -s 15 -rho 0.0 1000000 
4 ;	14 ;	34320 ;	((((((0, 2, 3))))), (((((((((1)))))))))) ;	ms 4 1 -seeds 1491453794 -s 14 -rho 0.0 1000000 
4 ;	13 ;	19305 ;	(((((((((1)))))))), (((((0, 2, 3)))))) ;	ms 4 1 -seeds 1491453794 -s 13 -rho 0.0 1000000 
4 ;	12 ;	9009 ;	(((((((((1)))))))), ((((0, 2, 3))))) ;	ms 4 1 -seeds 1491453794 -s 12 -rho 0.0 1000000 
4 ;	11 ;	5148 ;	(((((0, 2, 3)))), (((((((1)))))))) ;	ms 4 1 -seeds 1491453794 -s 11 -rho 0.0 1000000 
4 ;	10 ;	2376 ;	((((0, 2, 3))), (((((((1)))))))) ;	ms 4 1 -seeds 1491453794 -s 10 -rho 0.0 1000000 
4 ;	9 ;	990 ;	(((0, 2, 3)), (((((((1)))))))) ;	ms 4 1 -seeds 1491453794 -s 9 -rho 0.0 1000000 
4 ;	8 ;	756 ;	((((0, 2, 3))), (((((1)))))) ;	ms 4 1 -seeds 1491453794 -s 8 -rho 0.0 1000000 
4 ;	7 ;	378 ;	(((0, 2, 3)), (((((1)))))) ;	ms 4 1 -seeds 1491453794 -s 7 -rho 0.0 1000000 
4 ;	6 ;	210 ;	(((((1)))), ((0, 2, 3))) ;	ms 4 1 -seeds 1491453794 -s 6 -rho 0.0 1000000 
4 ;	5 ;	105 ;	((((1))), ((0, 2, 3))) ;	ms 4 1 -seeds 1491453794 -s 5 -rho 0.0 1000000 
4 ;	4 ;	60 ;	((((1))), (0, 2, 3)) ;	ms 4 1 -seeds 1491453794 -s 4 -rho 0.0 1000000 
4 ;	3 ;	30 ;	((0, 2, 3), ((1))) ;	ms 4 1 -seeds 1491453794 -s 3 -rho 0.0 1000000 
4 ;	2 ;	12 ;	((0, 2, 3), (1)) ;	ms 4 1 -seeds 1491453794 -s 2 -rho 0.0 1000000 
4 ;	1 ;	30 ;	(0, 2, 3, (1)) ;	ms 4 1 -seeds 1491453794 -s 1 -rho 0.0 1000000 
5 ;	20 ;	4056234 ;	(((((((((((0, 2)))))))))), (((((((((1), (3, 4)))))))))) ;	ms 5 1 -seeds 1491453794 -s 20 -rho 0.0 1000000 
5 ;	19 ;	1492260 ;	(((((((((((1), (3, 4)))))))))), ((((((((0, 2))))))))) ;	ms 5 1 -seeds 1491453794 -s 19 -rho 0.0 1000000 
5 ;	18 ;	881790 ;	(((((((((0, 2)))))))), (((((((((1), (3, 4)))))))))) ;	ms 5 1 -seeds 1491453794 -s 18 -rho 0.0 1000000 
5 ;	17 ;	503880 ;	(((((((((1), (3, 4)))))))), ((((((((0, 2))))))))) ;	ms 5 1 -seeds 1491453794 -s 17 -rho 0.0 1000000 
5 ;	16 ;	226746 ;	(((((((((1), (3, 4)))))))), (((((((0, 2)))))))) ;	ms 5 1 -seeds 1491453794 -s 16 -rho 0.0 1000000 
5 ;	15 ;	95472 ;	(((((((0, 2)))))), ((((((((1), (3, 4))))))))) ;	ms 5 1 -seeds 1491453794 -s 15 -rho 0.0 1000000 
5 ;	14 ;	72930 ;	(((((((1), (3, 4)))))), (((((((0, 2)))))))) ;	ms 5 1 -seeds 1491453794 -s 14 -rho 0.0 1000000 
5 ;	13 ;	34320 ;	(((((1), (3, 4)))), ((((((((0, 2))))))))) ;	ms 5 1 -seeds 1491453794 -s 13 -rho 0.0 1000000 
5 ;	12 ;	3003 ;	((((((((((0, 2))))))))), ((1, (3, 4)))) ;	ms 5 1 -seeds 1491453794 -s 12 -rho 0.0 1000000 
5 ;	11 ;	3003 ;	((((1, (3, 4)))), (((((((0, 2)))))))) ;	ms 5 1 -seeds 1491453794 -s 11 -rho 0.0 1000000 
5 ;	10 ;	1716 ;	(((((((0, 2)))))), (((1, (3, 4))))) ;	ms 5 1 -seeds 1491453794 -s 10 -rho 0.0 1000000 
5 ;	9 ;	924 ;	((((((0, 2))))), ((1, ((3, 4))))) ;	ms 5 1 -seeds 1491453794 -s 9 -rho 0.0 1000000 
5 ;	8 ;	462 ;	((((((0, 2))))), (1, ((3, 4)))) ;	ms 5 1 -seeds 1491453794 -s 8 -rho 0.0 1000000 
5 ;	7 ;	840 ;	((((3, 4)), (1)), (((0, 2)))) ;	ms 5 1 -seeds 1491453794 -s 7 -rho 0.0 1000000 
5 ;	6 ;	144 ;	(((((3, 4)), (1))), (0, 2)) ;	ms 5 1 -seeds 1491453794 -s 6 -rho 0.0 1000000 
5 ;	5 ;	112 ;	((((3, 4)), (1)), (0, 2)) ;	ms 5 1 -seeds 1491453794 -s 5 -rho 0.0 1000000 
5 ;	4 ;	27 ;	(0, 2, (((1), (3, 4)))) ;	ms 5 1 -seeds 1491453794 -s 4 -rho 0.0 1000000 
5 ;	3 ;	15 ;	((0, 2), (1, (3, 4))) ;	ms 5 1 -seeds 1491453794 -s 3 -rho 0.0 1000000 
5 ;	2 ;	63 ;	(1, ((0, 2)), 3, 4) ;	ms 5 1 -seeds 1491453794 -s 2 -rho 0.0 1000000 
5 ;	1 ;	45 ;	(1, 3, (0, 2), 4) ;	ms 5 1 -seeds 1491453794 -s 1 -rho 0.0 1000000 
6 ;	20 ;	297865755 ;	(((((((0, 3, 5)))))), ((((((((((4), ((2)))))), ((1)))))))) ;	ms 6 1 -seeds 1491453794 -s 20 -rho 0.0 1000000 
6 ;	19 ;	58837680 ;	(((((((0, 3, 5)))))), (((((((((4), (((2))))))), (1)))))) ;	ms 6 1 -seeds 1491453794 -s 19 -rho 0.0 1000000 
6 ;	18 ;	20465280 ;	((((((((((4), (((2))))))), (1))))), (((((0, 3, 5)))))) ;	ms 6 1 -seeds 1491453794 -s 18 -rho 0.0 1000000 
6 ;	17 ;	3139560 ;	((((((1), ((((4, (((2))))))))))), (((((0, 3, 5)))))) ;	ms 6 1 -seeds 1491453794 -s 17 -rho 0.0 1000000 
6 ;	16 ;	5232600 ;	((((((((4, (((2))))))), ((1))))), ((((0, 3, 5))))) ;	ms 6 1 -seeds 1491453794 -s 16 -rho 0.0 1000000 
6 ;	15 ;	2279088 ;	((((((((4, ((2))))), ((1)))))), ((((0, 3, 5))))) ;	ms 6 1 -seeds 1491453794 -s 15 -rho 0.0 1000000 
6 ;	14 ;	1169532 ;	(((((((1)), ((4, ((2)))))))), ((((0, 3, 5))))) ;	ms 6 1 -seeds 1491453794 -s 14 -rho 0.0 1000000 
6 ;	13 ;	556920 ;	((((((((2), 4)), ((1)))))), ((((0, 3, 5))))) ;	ms 6 1 -seeds 1491453794 -s 13 -rho 0.0 1000000 
6 ;	12 ;	240240 ;	(((((((2), 4), ((1)))))), ((((0, 3, 5))))) ;	ms 6 1 -seeds 1491453794 -s 12 -rho 0.0 1000000 
6 ;	11 ;	450450 ;	(((((2), (4)), ((1)))), ((((0, 3, 5))))) ;	ms 6 1 -seeds 1491453794 -s 11 -rho 0.0 1000000 
6 ;	10 ;	247104 ;	((((((0, 3, 5))))), (((2), (1), (4)))) ;	ms 6 1 -seeds 1491453794 -s 10 -rho 0.0 1000000 
6 ;	9 ;	41184 ;	((((((0, 3, 5))))), ((2, (1), (4)))) ;	ms 6 1 -seeds 1491453794 -s 9 -rho 0.0 1000000 
6 ;	8 ;	13860 ;	(((((4)), 1, 2)), ((((0, 3, 5))))) ;	ms 6 1 -seeds 1491453794 -s 8 -rho 0.0 1000000 
6 ;	7 ;	6930 ;	((((4)), 1, 2), ((((0, 3, 5))))) ;	ms 6 1 -seeds 1491453794 -s 7 -rho 0.0 1000000 
6 ;	6 ;	26802 ;	(((4)), 2, (1), (((0, 3, 5)))) ;	ms 6 1 -seeds 1491453794 -s 6 -rho 0.0 1000000 
6 ;	5 ;	15063 ;	(2, ((0, 3, 5)), (4), ((1))) ;	ms 6 1 -seeds 1491453794 -s 5 -rho 0.0 1000000 
6 ;	4 ;	2760 ;	(2, 4, ((0, 3, 5)), ((1))) ;	ms 6 1 -seeds 1491453794 -s 4 -rho 0.0 1000000 
6 ;	3 ;	1593 ;	((0, 3, 5), 4, 2, ((1))) ;	ms 6 1 -seeds 1491453794 -s 3 -rho 0.0 1000000 
6 ;	2 ;	1932 ;	(0, (1), 3, (2, 4), 5) ;	ms 6 1 -seeds 1491453794 -s 2 -rho 0.0 1000000 
6 ;	1 ;	6300 ;	(0, 1, 3, 4, 5, (2)) ;	ms 6 1 -seeds 1491453794 -s 1 -rho 0.0 1000000 
7 ;	20 ;	661923900 ;	((((((((0, 4, 6))))))), (((((((1, ((3), ((5)))), ((2))))))))) ;	ms 7 1 -seeds 1491453794 -s 20 -rho 0.0 1000000 
7 ;	19 ;	219660672 ;	((((((((0, 4, 6))))))), (((((((1, ((3), (5))), ((2))))))))) ;	ms 7 1 -seeds 1491453794 -s 19 -rho 0.0 1000000 
7 ;	18 ;	20593188 ;	(((((((0, 4, 6)))))), ((((((((1, ((3), (5))), (2))))))))) ;	ms 7 1 -seeds 1491453794 -s 18 -rho 0.0 1000000 
7 ;	17 ;	1918620 ;	(((((((((1, ((3), (5))), 2))))))), ((((((0, 4, 6))))))) ;	ms 7 1 -seeds 1491453794 -s 17 -rho 0.0 1000000 
7 ;	16 ;	8372160 ;	((((((0, 4, 6))))), (((((((2, ((3), (1), (5)))))))))) ;	ms 7 1 -seeds 1491453794 -s 16 -rho 0.0 1000000 
7 ;	15 ;	2325600 ;	((((0, 4, 6))), (((((((((3), ((5)), (1)), 2)))))))) ;	ms 7 1 -seeds 1491453794 -s 15 -rho 0.0 1000000 
7 ;	14 ;	1744200 ;	((((0, 4, 6))), ((((((((3), ((5)), (1)), 2))))))) ;	ms 7 1 -seeds 1491453794 -s 14 -rho 0.0 1000000 
7 ;	13 ;	7017192 ;	(((((((((5)), 2, 3, (1))))))), ((((0, 4, 6))))) ;	ms 7 1 -seeds 1491453794 -s 13 -rho 0.0 1000000 
7 ;	12 ;	8465184 ;	((((((((5)), (2), 3, (1)))))), (((0, 4, 6)))) ;	ms 7 1 -seeds 1491453794 -s 12 -rho 0.0 1000000 
7 ;	11 ;	1113840 ;	(((0, 4, 6)), (((((((1), (2), 3, (5)))))))) ;	ms 7 1 -seeds 1491453794 -s 11 -rho 0.0 1000000 
7 ;	10 ;	1837836 ;	((((0, 4, 6))), (((((1), (2), 3, (5)))))) ;	ms 7 1 -seeds 1491453794 -s 10 -rho 0.0 1000000 
7 ;	9 ;	1837836 ;	(((((0, 4, 6)))), (((1), (2), 3, (5)))) ;	ms 7 1 -seeds 1491453794 -s 9 -rho 0.0 1000000 
7 ;	8 ;	350064 ;	(((((0, 4, 6)))), ((1, (2), 3, (5)))) ;	ms 7 1 -seeds 1491453794 -s 8 -rho 0.0 1000000 
7 ;	7 ;	83160 ;	(((((0, 4, 6)))), ((1, (2), 3, 5))) ;	ms 7 1 -seeds 1491453794 -s 7 -rho 0.0 1000000 
7 ;	6 ;	24948 ;	(((1, 2, 3, 5)), ((((0, 4, 6))))) ;	ms 7 1 -seeds 1491453794 -s 6 -rho 0.0 1000000 
7 ;	5 ;	11340 ;	((1, 2, 3, 5), ((((0, 4, 6))))) ;	ms 7 1 -seeds 1491453794 -s 5 -rho 0.0 1000000 
7 ;	4 ;	8910 ;	(1, 2, 3, 5, ((((0, 4, 6))))) ;	ms 7 1 -seeds 1491453794 -s 4 -rho 0.0 1000000 
7 ;	3 ;	2760 ;	(1, ((0, 4, 6)), (3, 5), 2) ;	ms 7 1 -seeds 1491453794 -s 3 -rho 0.0 1000000 
7 ;	2 ;	42336 ;	(0, 1, 4, 6, (2), (3, 5)) ;	ms 7 1 -seeds 1491453794 -s 2 -rho 0.0 1000000 
7 ;	1 ;	151200 ;	(0, 1, 3, 4, 5, 6, (2)) ;	ms 7 1 -seeds 1491453794 -s 1 -rho 0.0 1000000 
8 ;	20 ;	3611979800 ;	(((((((((4, (0), (((3), 5, 7)))))))))), ((((((1, 2, ((6))))))))) ;	ms 8 1 -seeds 1491453794 -s 20 -rho 0.0 1000000 
8 ;	19 ;	1778205440 ;	((((((((4, (0), (((3), 5, 7))))))))), (((((((1, 2, (6))))))))) ;	ms 8 1 -seeds 1491453794 -s 19 -rho 0.0 1000000 
8 ;	18 ;	282420864 ;	((((((((1, 2, (6)))))))), ((((((0, ((((3), 5, 7))), 4))))))) ;	ms 8 1 -seeds 1491453794 -s 18 -rho 0.0 1000000 
8 ;	17 ;	146440448 ;	(((((((0, 4, (((3), 5, 7)))))))), (((((((1, 2, (6))))))))) ;	ms 8 1 -seeds 1491453794 -s 17 -rho 0.0 1000000 
8 ;	16 ;	30697920 ;	((((((((0, 4, (((3), 5, 7))))))))), ((((((1, 2, 6))))))) ;	ms 8 1 -seeds 1491453794 -s 16 -rho 0.0 1000000 
8 ;	15 ;	12819870 ;	((((((((0, 4, ((3, 5, 7))))))))), ((((((1, 2, 6))))))) ;	ms 8 1 -seeds 1491453794 -s 15 -rho 0.0 1000000 
8 ;	14 ;	4883760 ;	((((((1, 2, 6))))), (((((((0, 4, ((3, 5, 7)))))))))) ;	ms 8 1 -seeds 1491453794 -s 14 -rho 0.0 1000000 
8 ;	13 ;	732564 ;	(((((((((0, 4, ((3, 5, 7)))))))))), (((1, 2, 6)))) ;	ms 8 1 -seeds 1491453794 -s 13 -rho 0.0 1000000 
8 ;	12 ;	719712 ;	(((1, (2), 6)), (((((((0, 4, ((3, 5, 7)))))))))) ;	ms 8 1 -seeds 1491453794 -s 12 -rho 0.0 1000000 
8 ;	11 ;	519792 ;	(((1, (2), 6)), ((((((0, 4, ((3, 5, 7))))))))) ;	ms 8 1 -seeds 1491453794 -s 11 -rho 0.0 1000000 
8 ;	10 ;	366912 ;	((((((0, 4, ((3, 5, 7))))))), ((1, (2), 6))) ;	ms 8 1 -seeds 1491453794 -s 10 -rho 0.0 1000000 
8 ;	9 ;	216216 ;	((((((0, (3, 5, 7), 4))))), ((1, (2), 6))) ;	ms 8 1 -seeds 1491453794 -s 9 -rho 0.0 1000000 
8 ;	8 ;	432432 ;	(((1, (2), (6))), (((0, (3, 5, 7), 4)))) ;	ms 8 1 -seeds 1491453794 -s 8 -rho 0.0 1000000 
8 ;	7 ;	247104 ;	(((0, (3, 5, 7), 4)), ((1, (2), (6)))) ;	ms 8 1 -seeds 1491453794 -s 7 -rho 0.0 1000000 
8 ;	6 ;	66528 ;	((((1, 2, (6)))), (0, (3, 5, 7), 4)) ;	ms 8 1 -seeds 1491453794 -s 6 -rho 0.0 1000000 
8 ;	5 ;	332640 ;	((((1, 2, (6)))), (0, 3, 4, 5, 7)) ;	ms 8 1 -seeds 1491453794 -s 5 -rho 0.0 1000000 
8 ;	4 ;	113400 ;	(((1, 2, 6)), ((0, 3, 4, 5, 7))) ;	ms 8 1 -seeds 1491453794 -s 4 -rho 0.0 1000000 
8 ;	3 ;	68040 ;	(((1, 2, 6)), (0, 3, 4, 5, 7)) ;	ms 8 1 -seeds 1491453794 -s 3 -rho 0.0 1000000 
8 ;	2 ;	113400 ;	(0, 3, 4, 5, 7, ((1, 2, 6))) ;	ms 8 1 -seeds 1491453794 -s 2 -rho 0.0 1000000 
8 ;	1 ;	68040 ;	(0, 3, 4, 5, 7, (1, 2, 6)) ;	ms 8 1 -seeds 1491453794 -s 1 -rho 0.0 1000000 
9 ;	20 ;	415821931200 ;	(((((((((3), 6, ((2))))))))), (((((((7), 1, 4, ((8, 5, (0)))))))))) ;	ms 9 1 -seeds 1491453794 -s 20 -rho 0.0 1000000 
9 ;	19 ;	17770168000 ;	(((((((((6, ((2))), 3))))))), ((((((7), 1, 4, ((8, 5, (0))))))))) ;	ms 9 1 -seeds 1491453794 -s 19 -rho 0.0 1000000 
9 ;	18 ;	6151212000 ;	(((((((7), 1, 4, (((0, 8, 5)))))))), (((((((6, ((2))), 3))))))) ;	ms 9 1 -seeds 1491453794 -s 18 -rho 0.0 1000000 
9 ;	17 ;	2381321376 ;	(((((((7), 1, 4, ((0, 8, 5))))))), (((((((6, ((2))), 3))))))) ;	ms 9 1 -seeds 1491453794 -s 17 -rho 0.0 1000000 
9 ;	16 ;	779599260 ;	((((((((7), 1, 4, ((0, 8, 5)))))))), (((((3, ((2), 6))))))) ;	ms 9 1 -seeds 1491453794 -s 16 -rho 0.0 1000000 
9 ;	15 ;	305060580 ;	(((((((2, 6), 3))))), (((((((7), 1, 4, ((0, 8, 5))))))))) ;	ms 9 1 -seeds 1491453794 -s 15 -rho 0.0 1000000 
9 ;	14 ;	51767856 ;	(((((((((7), 1, 4, ((0, 8, 5))))))))), ((((2, 6), 3)))) ;	ms 9 1 -seeds 1491453794 -s 14 -rho 0.0 1000000 
9 ;	13 ;	9674496 ;	((((((((((7), 1, (0, 8, 5), 4)))))))), (((2, 6), 3))) ;	ms 9 1 -seeds 1491453794 -s 13 -rho 0.0 1000000 
9 ;	12 ;	10139616 ;	(((2, 6), 3), ((((((((7), (0, 8, 5), (1), 4)))))))) ;	ms 9 1 -seeds 1491453794 -s 12 -rho 0.0 1000000 
9 ;	11 ;	2919240 ;	((((((((1), 4, ((0, 8, 5)), 7)))))), ((2, 6), 3)) ;	ms 9 1 -seeds 1491453794 -s 11 -rho 0.0 1000000 
9 ;	10 ;	2270520 ;	(((((((1), 4, ((0, 8, 5)), 7))))), ((2, 6), 3)) ;	ms 9 1 -seeds 1491453794 -s 10 -rho 0.0 1000000 
9 ;	9 ;	1135680 ;	(((2, 6), 3), ((((((0, 8, 5), (1), 4, 7)))))) ;	ms 9 1 -seeds 1491453794 -s 9 -rho 0.0 1000000 
9 ;	8 ;	5621616 ;	(((((0, 8, 5), (1), 4, 7))), ((2, 6), (3))) ;	ms 9 1 -seeds 1491453794 -s 8 -rho 0.0 1000000 
9 ;	7 ;	3747744 ;	((((0, 8, 5), (1), 4, 7)), ((2, 6), (3))) ;	ms 9 1 -seeds 1491453794 -s 7 -rho 0.0 1000000 
9 ;	6 ;	972972 ;	((((2, 6), (3))), (1, (0, 8, 5), 4, 7)) ;	ms 9 1 -seeds 1491453794 -s 6 -rho 0.0 1000000 
9 ;	5 ;	7484400 ;	((((2, 6), (3))), (0, 1, 4, 5, 7, 8)) ;	ms 9 1 -seeds 1491453794 -s 5 -rho 0.0 1000000 
9 ;	4 ;	2673000 ;	(((2, 3, 6)), ((0, 1, 4, 5, 7, 8))) ;	ms 9 1 -seeds 1491453794 -s 4 -rho 0.0 1000000 
